MERGE Category,Data Source,Original Variable Name,Modified Variable Name/Label,Unit,MERGE Pre-Calculation,Description,Selected Value (Areal Calculation),Temperal Coverage,Temperal Resolution,Geo Coverage,Original DB Table Name,Original Data Source
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,11_cropland_rainfed_herbaceous_cover,Land Class - Rainfed Cropland Herbaceous Cover,Percentage of the Land Class in that area,-,"Land Cover Classification System - A11 Cultivated Terrestrial Areas and Managed Lands. (Regional) Cropland, rainfed, herbaceous cover",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,120_shrubland,Land Class - Shrubland,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Shrubs. Shrubland,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,121_shrubland_evergreen,Land Class - Evergreen Shrubland,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Shrubs. (Regional) Evergreen shrubland,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,122_shrubland_deciduous,Land Class - Deciduous Shrubland,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Shrubs. (Regional) Deciduous shrubland,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,12_cropland_rainfed_tree_or_shrub_cover,Land Class - Rainfed Cropland Tree or Shrub Cover,Percentage of the Land Class in that area,-,"Land Cover Classification System - A11 Cultivated Terrestrial Areas and Managed Lands. (Regional) Cropland, rainfed, tree, or shrub cover",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,130_grassland,Land Class - Grassland,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Seminatural Terrestrial Vegetation – Herbaceous. Grassland,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,140_lichens_and_mosses,Land Class - Lichens and Mosses,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Seminatural Terrestrial Vegetation – Herbaceous. Lichens and mosses,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,150_sparse_vegetation,Land Class - Sparse Vegetation,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Seminatural Terrestrial Vegetation. Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,151_sparse_tree,Land Class - Sparse Tree,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Seminatural Terrestrial Vegetation. (Regional) Sparse tree (<15%),Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,152_sparse_shrub,Land Class - Sparse Shrub,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Seminatural Terrestrial Vegetation. (Regional) Sparse shrub (<15%),Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,153_sparse_herbaceous,Land Class - Sparse Herbaceous,Percentage of the Land Class in that area,-,Land Cover Classification System - A12 Natural and Seminatural Terrestrial Vegetation. (Regional) Sparse herbaceous cover (<15%),Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,160_tree_cover_flooded_fresh_or_brakish_water,Land Class - Flooded Fresh or Brackish Water Tree Cover,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Seminatural Aquatic Vegetation. Tree cover, flooded, fresh or brackish water",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,170_tree_cover_flooded_saline_water,Land Class - Flooded Saline Water Tree Cover,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Seminatural Aquatic Vegetation. Tree cover, flooded, saline water",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,180_shrub_or_herbaceous_cover_flooded,Land Class - Flooded Shrub or Herbaceous Cover,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Seminatural Aquatic Vegetation. Shrub or herbaceous cover, flooded, fresh/saline/brackish water",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,190_urban,Land Class - Urban,Percentage of the Land Class in that area,-,Land Cover Classification System - B15 Artificial Surfaces. Urban areas,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,200_bare_areas,Land Class - Bare Areas,Percentage of the Land Class in that area,-,Land Cover Classification System - B16 Bare Areas. Bare areas,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,201_bare_areas_consolidated,Land Class - Consolidated Bare Areas,Percentage of the Land Class in that area,-,Land Cover Classification System - B16 Bare Areas. (Regional) Consolidated bare areas,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,202_bare_areas_unconsolidated,Land Class - Unconsolidated Bare Areas,Percentage of the Land Class in that area,-,Land Cover Classification System - B16 Bare Areas. (Regional) Unconsolidated bare areas,Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,20_cropland_irrigated,Land Class - Irrigated Cropland,Percentage of the Land Class in that area,-,"Land Cover Classification System - A11 Cultivated Terrestrial Areas and Managed Lands. Cropland, irrigated or post-flooding",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,210_water,Land Class - Water,Percentage of the Land Class in that area,-,"Land Cover Classification System - B28 Inland Waterbodies, snow and ice. Water bodies",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,220_snow_and_ice,Land Class - Snow and Ice,Percentage of the Land Class in that area,-,"Land Cover Classification System - B28 Inland Waterbodies, snow and ice. Permanent snow and ice",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,30_mosaic_cropland,Land Class - Mosaic Cropland,Percentage of the Land Class in that area,-,"Land Cover Classification System - A11 Cultivated Terrestrial Areas and Managed Lands. Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,40_mosaic_natural_vegetation,Land Class - Mosaic Natural Vegetation,Percentage of the Land Class in that area,-,"Land Cover Classification System - A11 Cultivated Terrestrial Areas and Managed Lands. Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,50_tree_broadleaved_evergreen_closed_to_open,Land Class - Broadleaved Evergreen Tree Closed to Open,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. Tree cover, broadleaved, evergreen, closed to open (>15%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,60_tree_broadleaved_deciduous_closed_to_open,Land Class - Broadleaved Deciduous Tree Closed to Open,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. Tree cover, broadleaved, deciduous, closed to open (>15%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,61_tree_broadleaved_deciduous_closed,Land Class - Broadleaved Deciduous Tree Closed,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. (Regional) Tree cover, broadleaved, deciduous, closed (>40%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,62_tree_broadleaved_deciduous_open,Land Class - Broadleaved Decisuous Tree Open,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. (Regional) Tree cover, broadleaved, deciduous, open (15-40%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,70_tree_needleleaved_evergreen_closed_to_open,Land Class - Needleleaved Evergreen Tree Closed to Open,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. Tree cover, needleleaved, evergreen, closed to open (>15%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,71_tree_needleleaved_evergreen_closed,Land Class - Needleleaved Evergreen Tree Closed,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. (Regional) Tree cover, needleleaved, evergreen, closed (>40%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,72_tree_needleleaved_evergreen_open,Land Class - Needleleaved Evergreen Tree Open,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. (Regional) Tree cover, needleleaved, evergreen, open (15-40%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,80_tree_needleleaved_deciduous_closed_to_open,Land Class - Needleleaved Deciduous Tree Closed to Open,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. Tree cover, needleleaved, deciduous, closed to open (>15%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,81_tree_needleleaved_deciduous_closed,Land Class - Needleleaved Deciduous Tree Closed,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. (Regional) Tree cover, needleleaved, deciduous, closed (>40%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,82_tree_needleleaved_deciduous_open,Land Class - Needleleaved Deciduous Tree Open,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. (Regional) Tree cover, needleleaved, deciduous, open (15-40%)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,Copernicus - CDS - Land cover classification gridded maps from 1992 to present derived from satellite observations,90_tree_mixed,Land Class - Mixed Tree,Percentage of the Land Class in that area,-,"Land Cover Classification System - A12 Natural and Semi-natural Terrestrial Vegetation – Woody / Trees. Tree cover, mixed leaf type (broadleaved and needleleaved)",Percentage of the Land Class in that area (raw_value),"2010, 2019, 2020, 2022",Yearly,Admin Level 0-1,geospatial_data_landcover,Copernicus_CDS_LandClass
Environmental and Climate Factors,GDL - ERA5 Weather Annual Merged - v0.1,relhumidityyear,Yearly Average Relative Humidity,% of humidity,-,Yearly Average Relative Humidity,Original Raw Value (Areal value aggregated by GDL),1990 to 2022,Yearly,Admin Level 0-2,geospatial_data_gdl,ERA5_GDL_weather_annual_merged.csv
Environmental and Climate Factors,GDL - ERA5 Weather Annual Merged - v0.1,surfacetempyear,Yearly Average Surface Temperature (C),Celsius (°C),-,Yearly Average Surface Temperature (¬∫C),Original Raw Value (Areal value aggregated by GDL),1990 to 2022,Yearly,Admin Level 0-2,geospatial_data_gdl,ERA5_GDL_weather_annual_merged.csv
Environmental and Climate Factors,GDL - ERA5 Weather Annual Merged - v0.1,totprecipyear,Yearly Total Precipitation,m,-,Total Yearly Precipitation,Original Raw Value (Areal value aggregated by GDL),1990 to 2022,Yearly,Admin Level 0-2,geospatial_data_gdl,ERA5_GDL_weather_annual_merged.csv
Socio-demographic Indicators,GDL - Area Data - v44,age09,Population Percentage Age 0-9,Percentage,-,Percentage of national population aged 0-9 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,age1019,Population Percentage Age 10-19,Percentage,-,Percentage of national population aged 10-19 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,age2029,Population Percentage Age 20-29,Percentage,-,Percentage of national population aged 20-29 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,age3039,Population Percentage Age 30-39,Percentage,-,Percentage of national population aged 30-39 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,age4049,Population Percentage Age 40-49,Percentage,-,Percentage of national population aged 40-49 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,age5059,Population Percentage Age 50-59,Percentage,-,Percentage of national population aged 50-59 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,age6069,Population Percentage Age 60-69,Percentage,-,Percentage of national population aged 60-69 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,age7079,Population Percentage Age 70-79,Percentage,-,Percentage of national population aged 70-79 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,agemarw20,Avg Age at First Marriage (Women 20-50),Age,-,Mean age at first marriage of women aged 20-50 in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,bmiz,BMI for Age Z-Score,Standard Deviation,-,"Number of SD below or above the median BMI-for-age of the WHO Growth Standard
BMI for age Z-score",Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,cellphone,Percentage of Households with a Cellphone,Percentage,-,Percentage of households with a cellphone in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,dtp3age1,Percentage of 1 year olds with DTP3 Vaccine,Percentage,-,Percentage of children aged 1 who received a DTP3 vaccination,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,edyr25,Mean Years Education (Adults 25+),Year,-,Mean years education of adults aged 25+ in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,electr,Percentage of Households with Electricity,Percentage,-,Percentage of households with electricity in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,hagri,Percentage of Employed Men in Agriculture,Percentage,-,Percentage of employed men who work in agriculture,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,haz,Height for Age Z-score,Standard Deviation,-,"Number of SD below or above the median height-for-age of the WHO Growth Standard
Height for age Z-score",Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,hhsize,Average Household Size,Number of people,-,Average household size in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,hwrkhigh,Percentage of Employed Men in Upper Nonfarm Jobs,Percentage,-,"Percentage of employed men who work in upper nonfarm jobs (professional, managerial, technical)",Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,hwrklow,Percentage of Employed Men in Lower Nonfarm Jobs,Percentage,-,"Percentage of employed men who work in lower nonfarm jobs (clerical, sales, services, manual labor)",Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,infmort,Infant Mortality Rate (per 1000 live births),Number of people,-,"Number of deaths of children less than one year of age, per 1000 live births in a given year",Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,internet,Percentage of Households with Internet,Percentage,-,Percentage of households with internet access in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,iwi,International Wealth Index Score (IWI),-,-,The international Wealth Index is an asset-based wealth index that runs from 0 (no assets) to 100 (all assets) and is comparable across place and time,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,iwipov35,Percentage of Poorest Households (IWI Value under 35),Percentage,-,Percentage of households with an International Wealth Index value under 35,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,iwipov50,Percentage of Poorest Households (IWI Value under 50),Percentage,-,Percentage of households with an International Wealth Index value under 50,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,iwipov70,Percentage of Poorest Households (IWI Value under 70),Percentage,-,Percentage of households with an International Wealth Index value under 70,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,measlage1,Percentage of 1 year olds with Measles Vaccine,Percentage,-,Percentage of children aged 1 who received a measles vaccination,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,menedyr25,Average Years of Educations (Men 25+),Year,-,Mean years education of men aged 25+ in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,pipedwater,Percentage of households with Piped Water,Percentage,-,Percentage of household with piped water in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,popold,Percentage of Regional Population Aged 65+,Percentage,-,Percentage of population in region over 65,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,popshare,Percentage Share of National Population,Percentage,-,Share of national population living in area,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,popworkage,Percentage of Regional Population Aged 15-65,Percentage,-,Percentage of population in region aged 15 to 65,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,regpopm,Total Area Population,Number of people,-,Total area population,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,stunting,Percentage of Stunted Children (0-59 months),Percentage,-,Percentage of children aged 0-59 months who are below minus two standard deviations from median height-for-age of the WHO Child Growth Standards,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,tfr,Total Fertility Rate,Average number of children,-,Total fertility rate in three years before survey in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,thtbetween,Wealth Inequality between Groups,-,-,Wealth inequality between groups (THeil-T),Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,thtwithin,Wealth Inequality within Groups,-,-,Wealth inequality within groups (THeil-T),Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,u5mort,Under 5 Mortality Rate,Number of people,-,"Number of children dying under five year of age, per 1,000 live births in a given year",Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,urban,Percentage of Urban Population,Percentage,-,% of population living in urban areas in region,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
Socio-demographic Indicators,GDL - Area Data - v44,wagri,Percentage of Employed Women in Agriculture,Percentage,-,Percentage of employed women who work in agriculture,Original Raw Value (Areal value aggregated by GDL),1991 to 2023,Yearly,Admin Level 0-2,geospatial_data_gdl,GDL-AreaData44.csv
